cruise,cast,niskin,latitude,longitude,depth_m,salinity,potential_temperature_c,date_sampled,date_processed,syn_cells_per_ml,syn_biovolume_concentration,syn_carbon_concentration,syn_volume_analyzed_ml,syn_filename,redeuk_leq_2um_cells_per_ml,redeuk_leq_2um_biovolume_concentration,redeuk_leq_2um_carbon_concentration,redeuk_leq_3um_cells_per_ml,redeuk_leq_3um_biovolume_concentration,redeuk_leq_3um_carbon_concentration,redeuk_leq_5um_cells_per_ml,redeuk_leq_5um_biovolume_concentration,redeuk_leq_5um_carbon_concentration,redeuk_leq_10um_cells_per_ml,redeuk_leq_10um_biovolume_concentration,redeuk_leq_10um_carbon_concentration,redeuk_leq_20um_cells_per_ml,redeuk_leq_20um_biovolume_concentration,redeuk_leq_20um_carbon_concentration,redeuk_volume_analyzed_ml,redeuk_filename,hetprok_cells_per_ml,hetprok_carbon_concentration,hetprok_volume_analyzed_ml,hetprok_filename,samplelog_QC,nearest_station,station_distance
EN608,1,2,41.1965,-70.8793,17.48,32.394,2.377,2018-01-31 19:23:16,2021-06-22,675.0,315.483248333758,0.0710835258493431,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C001N02.fcs,2218.75,3643.81678317477,0.758057728776556,2396.875,4811.61845261092,0.982252527639098,2465.625,7113.38470826379,1.38242661454843,2596.875,35579.5605185852,5.78451831779082,2628.125,95557.3027241412,13.8566173993705,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C001N02.fcs,1076275.0,21.5255,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C001N02.fcs,1,L1,0.333
EN608,1,5,41.1965,-70.8793,11.591,32.3843,2.3323,2018-01-31 19:23:16,2021-06-22,621.875,310.140005701669,0.0691668967460538,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C001N05.fcs,2303.125,3543.01012223143,0.74039747710425,2415.625,4281.29362747526,0.882096189296643,2534.375,7696.34896386543,1.4814212867958,2587.5,18014.6262168195,3.08328046491757,2621.875,87640.814027901,12.4740358213212,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C001N05.fcs,1083650.0,21.673,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C001N05.fcs,1,L1,0.333
EN608,1,9,41.1965,-70.8793,7.022,32.3798,2.3118,2018-01-31 19:23:16,2021-06-22,637.5,304.323859377789,0.0683527296903937,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C001N09.fcs,2434.375,3846.4528960738,0.802447191269463,2587.5,4893.52168985004,1.00302584845468,2690.625,8427.68260689885,1.61567156514563,2784.375,26867.0333426566,4.48175353503044,2809.375,65837.3120750776,9.83349676453701,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C001N09.fcs,1112100.0,22.242,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C001N09.fcs,1,L1,0.333
EN608,1,19,41.1965,-70.8793,2.726,32.3791,2.3089,2018-01-31 19:23:16,2021-06-22,618.75,289.691746471606,0.0652048266554154,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C001N19.fcs,2175.0,3349.94692817337,0.700248419525781,2368.75,4610.28960210561,0.942359504739579,2462.5,7372.79619294772,1.42560635360352,2559.375,23949.2104330218,4.03208992911323,2587.5,82053.1250472571,11.8765757578322,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C001N19.fcs,1105800.0,22.116,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C001N19.fcs,1,L1,0.333
EN608,4,1,41.0218,-70.8725,43.662,32.7592,4.2685,2018-02-01 05:39:58,2021-06-22,971.875,421.652862963809,0.0953324656870018,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C004N01.fcs,1287.5,2339.93366375105,0.484181005265719,1481.25,3650.33239249085,0.735428187684019,1615.625,7920.99486946927,1.48087495538417,1825.0,44965.1093889226,7.28974168922162,1887.5,145206.068202766,21.0013817909886,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C004N01.fcs,1002950.0,20.059,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C004N01.fcs,1,L2,1.283
EN608,4,4,41.0218,-70.8725,29.595,32.7599,4.2724,2018-02-01 05:39:58,2021-06-22,1046.875,480.838530215144,0.108083268405862,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C004N04.fcs,1209.375,2196.34331450483,0.454355378238845,1371.875,3227.72634424197,0.652804581024285,1462.5,6038.73237850147,1.14272341326471,1700.0,58123.3298485722,9.19431712550083,1731.25,110420.360407998,16.3004801034351,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C004N04.fcs,969400.0,19.388,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C004N04.fcs,1,L2,1.283
EN608,4,6,41.0218,-70.8725,29.461,32.7596,4.2727,2018-02-01 05:39:58,2021-06-22,1062.5,484.481403878087,0.109170646232293,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C004N06.fcs,1265.625,2145.58593510144,0.445425809698534,1418.75,3161.36984511717,0.640509655398337,1543.75,6658.58078194112,1.25372039524235,1721.875,34583.6106390396,5.64765085877622,1743.75,58492.2022721676,8.99470863353844,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C004N06.fcs,969650.0,19.393,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C004N06.fcs,1,L2,1.283
EN608,4,12,41.0218,-70.8725,3.546,32.7632,4.2856,2018-02-01 05:39:58,2021-06-22,1015.625,480.094781248205,0.10810599871662,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C004N12.fcs,1290.625,2296.17606206148,0.475876449659281,1453.125,3330.12728022372,0.674834537730183,1534.375,5759.91353812497,1.10017018312719,1568.75,12457.4921970214,2.14180477311318,1587.5,47848.9982101792,6.92558323674228,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C004N12.fcs,1011275.0,20.2255,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C004N12.fcs,1,L2,1.283
EN608,5,1,40.8593,-70.8838,44.244,32.7474,4.8039,2018-02-01 09:17:29,2021-06-22,1193.75,562.950912742612,0.12654989125098,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C005N01.fcs,1768.75,2967.60999492585,0.61666266242996,1981.25,4431.57109876534,0.896770461729542,2156.25,9654.51252956285,1.81011261101907,2196.875,17611.4428139116,3.04516420916984,2218.75,54731.5437150461,8.08855995069468,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C005N01.fcs,847325.0,16.9465,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C005N01.fcs,1,L3,0.443
EN608,5,5,40.8593,-70.8838,30.037,32.7455,4.8166,2018-02-01 09:17:29,2021-06-22,1087.5,458.399152544251,0.103928822790655,0.32,NESLTER_EN608_01Feb2018_phyto_PE_SSC_C005N05.fcs,1943.75,3249.57299997217,0.675300048670622,2118.75,4328.20743619912,0.883412246703046,2306.25,9842.35716159262,1.84890561179821,2350.0,19879.5211237892,3.38823169941098,2365.625,43049.3645022536,6.56954950545476,0.32,NESLTER_EN608_01Feb2018_phyto_CHL_SSC_C005N05.fcs,845850.0,16.917,0.04,NESLTER_EN608_01Feb2018_hbac_SYBR_SSC_C005N05.fcs,1,L3,0.443
