"event_number","event_number_niskin","ship","cruise","latitude","longitude","depth_m","date_sampled","date_processed","syn_cells_per_ml","syn_biovolume_concentration","syn_carbon_concentration","syn_volume_analyzed_ml","syn_filename","redeuk_leq_2um_cells_per_ml","redeuk_leq_2um_biovolume_concentration","redeuk_leq_2um_carbon_concentration","redeuk_leq_3um_cells_per_ml","redeuk_leq_3um_biovolume_concentration","redeuk_leq_3um_carbon_concentration","redeuk_leq_5um_cells_per_ml","redeuk_leq_5um_biovolume_concentration","redeuk_leq_5um_carbon_concentration","redeuk_leq_10um_cells_per_ml","redeuk_leq_10um_biovolume_concentration","redeuk_leq_10um_carbon_concentration","redeuk_leq_20um_cells_per_ml","redeuk_leq_20um_biovolume_concentration","redeuk_leq_20um_carbon_concentration","redeuk_volume_analyzed_ml","redeuk_filename","hetprok_cells_per_ml","hetprok_carbon_concentration","hetprok_volume_analyzed_ml","hetprok_filename"
"MVCO_337","MVCO_337_01","","",41.325,-70.5657,15,2015-03-25 16:06:00,2024-06-03,115.625,46.2788055092877,0.0105311273020173,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N01.fcs",2425,2614.68448111239,0.555620417241096,3112.5,9594.04798302468,1.8630892238946,5353.125,68384.8388917512,12.2429933262008,5471.875,89739.264234935,15.5752770172994,5490.625,120852.985606294,19.837208554683,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N01.fcs",1493312.5,29.86625,0.08,"MVCO_2015_hbac_SYBR_SSC_MV337N01.fcs"
"MVCO_337","MVCO_337_03","","",41.325,-70.5657,6,2015-03-25 16:06:00,2024-06-03,106.25,46.5347844498503,0.0105263456941984,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N03.fcs",2390.625,2390.79622951534,0.510290129775151,3153.125,10136.6689160447,1.96181680492722,5587.5,74046.6627829029,13.2438255410323,5746.875,98727.5265564867,17.1206047047068,5781.25,143344.833795576,23.2890824274495,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N03.fcs",1443637.5,28.87275,0.08,"MVCO_2015_hbac_SYBR_SSC_MV337N03.fcs"
"MVCO_337","MVCO_337_04","","",41.325,-70.5657,2,2015-03-25 16:06:00,2024-06-03,131.25,47.9309716632737,0.0109636024239989,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N04.fcs",2612.5,2420.64402065491,0.51979632900128,3512.5,11820.0575061861,2.27838811043968,5600,66256.8086653184,11.8929806429858,5728.125,85693.3860176646,14.9443498086147,5750,118200.65613552,19.3898783666995,0.32,"MVCO_2015_phyto_CHL_SSC_MV337N04.fcs",1456587.5,29.13175,0.08,"MVCO_2015_hbac_SYBR_SSC_MV337N04.fcs"
"MVCO_355","MVCO_355_02","","",41.325,-70.5657,10,2016-01-29 16:27:00,2024-06-24,4903.125,2052.20484342034,0.464688207952365,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N02.fcs",4284.375,6641.27749796731,1.38521830553938,4568.75,8689.73673027088,1.77587033403261,4796.875,16112.4545733228,3.06840218676698,4925,46729.5717636672,7.77410846801809,5093.75,321664.388867844,45.3357621142889,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N02.fcs",1554462.5,31.08925,0.08,"MVCO_2016_hbac_SYBR_SSC_MV355N02.fcs"
"MVCO_355","MVCO_355_03","","",41.325,-70.5657,6,2016-01-29 16:27:00,2024-06-24,4909.375,2130.97891618897,0.481295809528315,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N03.fcs",4196.875,6507.71256239478,1.35781617041271,4540.625,8746.19626813398,1.78801708075624,4815.625,17468.9094411197,3.3083021970684,4931.25,46471.4322769652,7.75687508574515,5106.25,327607.655750029,46.2217392551158,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N03.fcs",1576512.5,31.53025,0.08,"MVCO_2016_hbac_SYBR_SSC_MV355N03.fcs"
"MVCO_355","MVCO_355_04","","",41.325,-70.5657,2,2016-01-29 16:27:00,2024-06-24,5003.125,2059.49633148647,0.466435933910212,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N04.fcs",4075,6379.23664897891,1.32905098631798,4453.125,8971.14742398866,1.82549874912952,4750,19057.59834175,3.57557318528322,4856.25,41209.1172950325,6.99404474019824,4968.75,263927.967008964,37.1021718990991,0.32,"MVCO_2016_phyto_CHL_SSC_MV355N04.fcs",1540437.5,30.80875,0.08,"MVCO_2016_hbac_SYBR_SSC_MV355N04.fcs"
"MVCO_361","MVCO_361_02","","",41.325,-70.5657,10,2016-06-10 18:55:00,2024-06-24,20109.375,7273.44111655036,1.66170860168782,0.32,"MVCO_2016_phyto_CHL_SSC_MV361N02.fcs",10765.625,12956.1015939601,2.73672645697367,11500,18850.8731874977,3.8549512567543,12284.375,41731.2869654689,7.86335360208721,12446.875,74891.7649007689,12.9888862495829,12500,167613.941200952,25.5635866098858,0.32,"MVCO_2016_phyto_CHL_SSC_MV361N02.fcs",4136487.5,82.72975,0.08,"MVCO_2016_hbac_SYBR_SSC_MV361N02.fcs"
"MVCO_361","MVCO_361_03","","",41.325,-70.5657,6,2016-06-10 18:55:00,2024-06-24,38290.625,15069.8222498439,3.4189508165252,0.32,"MVCO_2016_phyto_PE_SSC_MV361N03.fcs",25218.75,26987.9454231389,5.72933001252076,26303.125,34823.8459436414,7.224715210828,27375,68008.750774119,13.0192448821214,27646.875,114544.868421797,20.2857167248697,27718.75,194541.445371412,31.4567200059549,0.32,"MVCO_2016_phyto_CHL_SSC_MV361N03.fcs",4164000,83.28,0.08,"MVCO_2016_hbac_SYBR_SSC_MV361N03.fcs"
"MVCO_361","MVCO_361_04","","",41.325,-70.5657,2,2016-06-10 18:55:00,2024-06-24,48612.5,19162.681953558,4.34115713144966,0.32,"MVCO_2016_phyto_PE_SSC_MV361N04.fcs",31759.375,33206.3407258196,7.05774279077005,32984.375,41432.100672675,8.63576772495587,33968.75,74393.8730057626,14.3632254124267,34303.125,135480.506700135,23.868194745935,34381.25,217298.323478131,35.3758983260402,0.32,"MVCO_2016_phyto_CHL_SSC_MV361N04.fcs",4443925,88.8785,0.08,"MVCO_2016_hbac_SYBR_SSC_MV361N04.fcs"
"EN608_30","EN608_30_01","Endeavor","EN608",41.3223,-70.576,13.4,2018-02-05 00:03:36,2021-06-24,203.125,86.8618150171799,0.0196810450519818,0.32,"NESLTER_EN608_01Feb2018(2)_phyto_PE_SSC_C030N01.fcs",2781.25,4014.28944393697,0.840985871806356,3043.75,5951.81893290216,1.21040522117953,3384.375,18492.7191885552,3.37739825403198,3621.875,61654.0620917801,10.0985051493127,3721.875,244841.245377812,34.9250625794904,0.32,"NESLTER_EN608_01Feb2018(2)_phyto_CHL_SSC_C030N01.fcs",1224033.333,24.4806666666667,0.06,"NESLTER_EN608_01Feb2018(2)_hbac_SYBR_SSC_C030N01.fcs"
